timestamp,fps,frame_time_ms
0.0,55.46,18.03
0.5,53.54,18.68
1.0,56.33,17.75
1.5,56.71,17.63
2.0,52.47,19.06
2.5,53.55,18.68
3.0,55.79,17.92
3.5,55.22,18.11
4.0,55.77,17.93
4.5,54.61,18.31
5.0,57.31,17.45
5.5,57.25,17.47
6.0,56.28,17.77
6.5,57.97,17.25
7.0,57.07,17.52
7.5,55.18,18.12
8.0,57.11,17.51
8.5,55.21,18.11
9.0,58.06,17.22
9.5,56.75,17.62
10.0,56.64,17.66
10.5,55.98,17.86
11.0,58.92,16.97
11.5,56.94,17.56
12.0,56.62,17.66
12.5,56.81,17.6
13.0,58.22,17.18
13.5,58.05,17.23
14.0,58.2,17.18
14.5,58.3,17.15
15.0,60.94,16.41
15.5,57.19,17.49
16.0,57.1,17.51
16.5,56.72,17.63
17.0,58.93,16.97
17.5,59.76,16.73
18.0,57.96,17.25
18.5,56.93,17.56
19.0,57.02,17.54
19.5,59.29,16.87
20.0,30.09,33.23
20.5,59.23,16.88
21.0,57.47,17.4
21.5,58.87,16.99
22.0,58.74,17.02
22.5,58.94,16.97
23.0,59.96,16.68
23.5,59.03,16.94
24.0,59.75,16.74
24.5,30.41,32.88
25.0,59.23,16.88
25.5,59.77,16.73
26.0,56.67,17.65
26.5,58.4,17.12
27.0,58.2,17.18
27.5,57.97,17.25
28.0,58.53,17.09
28.5,61.2,16.34
29.0,57.67,17.34
29.5,60.43,16.55
30.0,56.47,17.71
30.5,39.23,25.49
31.0,59.24,16.88
31.5,59.88,16.7
32.0,60.07,16.65
32.5,60.18,16.62
33.0,58.46,17.1
33.5,58.28,17.16
34.0,60.25,16.6
34.5,58.67,17.05
35.0,57.02,17.54
35.5,57.22,17.48
36.0,57.52,17.39
36.5,59.62,16.77
37.0,59.06,16.93
37.5,59.85,16.71
38.0,58.14,17.2
38.5,58.99,16.95
39.0,59.65,16.76
39.5,38.33,26.09
40.0,59.32,16.86
40.5,57.6,17.36
41.0,58.0,17.24
41.5,57.93,17.26
42.0,56.66,17.65
42.5,59.13,16.91
43.0,57.64,17.35
43.5,58.31,17.15
44.0,58.96,16.96
44.5,58.84,16.99
45.0,59.11,16.92
45.5,57.9,17.27
46.0,57.35,17.44
46.5,57.8,17.3
47.0,55.31,18.08
47.5,55.6,17.98
48.0,55.72,17.95
48.5,56.13,17.82
49.0,58.15,17.2
49.5,56.12,17.82
50.0,56.83,17.6
50.5,59.26,16.87
51.0,56.7,17.64
51.5,58.25,17.17
52.0,55.66,17.97
52.5,56.67,17.65
53.0,55.46,18.03
53.5,56.29,17.76
54.0,57.97,17.25
54.5,54.03,18.51
55.0,57.18,17.49
55.5,56.79,17.61
56.0,55.45,18.03
56.5,54.08,18.49
57.0,56.26,17.78
57.5,55.26,18.1
58.0,56.31,17.76
58.5,55.89,17.89
59.0,58.16,17.19
59.5,55.3,18.08
60.0,23.55,42.47
60.5,5.0,200.0
61.0,25.82,38.72
61.5,20.12,49.71
62.0,20.09,49.78
62.5,23.62,42.33
63.0,24.29,41.17
63.5,23.34,42.84
64.0,16.94,59.02
64.5,5.0,200.0
65.0,18.9,52.92
65.5,22.71,44.04
66.0,17.73,56.41
66.5,23.34,42.85
67.0,19.58,51.07
67.5,18.15,55.09
68.0,54.45,18.37
68.5,55.14,18.14
69.0,56.78,17.61
69.5,58.06,17.22
70.0,54.22,18.44
70.5,52.02,19.22
71.0,50.21,19.92
71.5,53.72,18.61
72.0,52.01,19.23
72.5,52.52,19.04
73.0,52.13,19.18
73.5,52.75,18.96
74.0,54.48,18.36
74.5,53.03,18.86
75.0,52.48,19.06
75.5,51.08,19.58
76.0,50.04,19.98
76.5,51.74,19.33
77.0,52.32,19.11
77.5,54.97,18.19
78.0,52.44,19.07
78.5,53.65,18.64
79.0,51.36,19.47
79.5,50.26,19.9
80.0,50.53,19.79
80.5,50.82,19.68
81.0,55.04,18.17
81.5,50.55,19.78
82.0,52.98,18.87
82.5,50.32,19.87
83.0,53.01,18.86
83.5,52.14,19.18
84.0,51.28,19.5
84.5,51.4,19.45
85.0,50.44,19.83
85.5,52.05,19.21
86.0,50.65,19.74
86.5,49.46,20.22
87.0,49.34,20.27
87.5,51.48,19.42
88.0,53.56,18.67
88.5,51.4,19.45
89.0,50.96,19.62
89.5,51.54,19.4
90.0,53.05,18.85
90.5,51.4,19.46
91.0,50.44,19.83
91.5,52.7,18.98
92.0,51.67,19.35
92.5,53.32,18.76
93.0,51.28,19.5
93.5,49.17,20.34
94.0,48.95,20.43
94.5,53.48,18.7
95.0,53.59,18.66
95.5,50.74,19.71
96.0,50.44,19.83
96.5,53.22,18.79
97.0,49.38,20.25
97.5,49.71,20.12
98.0,52.04,19.22
98.5,50.5,19.8
99.0,51.1,19.57
99.5,50.89,19.65
100.0,51.67,19.35
100.5,53.31,18.76
101.0,51.36,19.47
101.5,52.23,19.15
102.0,19.59,51.06
102.5,51.26,19.51
103.0,50.11,19.96
103.5,49.59,20.16
104.0,50.15,19.94
104.5,51.01,19.6
105.0,26.66,37.51
105.5,49.63,20.15
106.0,51.72,19.34
106.5,51.0,19.61
107.0,51.29,19.5
107.5,53.35,18.74
108.0,52.72,18.97
108.5,27.84,35.91
109.0,51.81,19.3
109.5,51.06,19.58
110.0,51.84,19.29
110.5,52.61,19.01
111.0,52.59,19.02
111.5,50.77,19.7
112.0,52.61,19.01
112.5,52.9,18.91
113.0,56.41,17.73
113.5,55.53,18.01
114.0,51.52,19.41
114.5,52.45,19.07
115.0,50.77,19.7
115.5,52.17,19.17
116.0,53.61,18.65
116.5,55.04,18.17
117.0,52.23,19.15
117.5,52.43,19.07
118.0,50.28,19.89
118.5,53.35,18.74
119.0,52.1,19.19
119.5,52.99,18.87
120.0,52.57,19.02
120.5,53.84,18.57
121.0,51.44,19.44
121.5,51.97,19.24
122.0,57.47,17.4
122.5,52.44,19.07
123.0,52.82,18.93
123.5,57.32,17.44
124.0,59.03,16.94
124.5,53.01,18.86
125.0,54.31,18.41
125.5,55.48,18.02
126.0,57.66,17.34
126.5,53.69,18.63
127.0,54.9,18.22
127.5,56.53,17.69
128.0,56.12,17.82
128.5,55.0,18.18
129.0,55.46,18.03
129.5,53.7,18.62
130.0,55.5,18.02
130.5,55.56,18.0
131.0,56.4,17.73
131.5,55.32,18.08
132.0,56.95,17.56
132.5,57.86,17.28
133.0,56.67,17.65
133.5,57.06,17.53
134.0,56.7,17.64
134.5,56.71,17.63
135.0,55.72,17.95
135.5,57.36,17.43
136.0,56.83,17.6
136.5,60.2,16.61
137.0,59.51,16.8
137.5,57.81,17.3
138.0,56.17,17.8
138.5,55.73,17.94
139.0,59.26,16.87
139.5,57.95,17.26
140.0,58.35,17.14
140.5,55.09,18.15
141.0,59.17,16.9
141.5,58.53,17.09
142.0,56.25,17.78
142.5,57.28,17.46
143.0,58.44,17.11
143.5,58.19,17.18
144.0,57.74,17.32
144.5,58.08,17.22
145.0,17.14,58.34
145.5,15.72,63.59
146.0,13.16,76.0
146.5,19.35,51.67
147.0,5.0,200.0
147.5,15.1,66.24
148.0,15.81,63.26
148.5,13.14,76.1
149.0,16.41,60.93
149.5,13.4,74.63
150.0,61.34,16.3
150.5,56.48,17.7
151.0,60.11,16.64
151.5,58.35,17.14
152.0,58.78,17.01
152.5,57.32,17.45
153.0,58.42,17.12
153.5,60.89,16.42
154.0,59.83,16.71
154.5,61.57,16.24
155.0,60.74,16.46
155.5,59.65,16.77
156.0,61.61,16.23
156.5,59.66,16.76
157.0,60.24,16.6
157.5,58.55,17.08
158.0,59.1,16.92
158.5,57.94,17.26
159.0,60.47,16.54
159.5,57.2,17.48
160.0,60.13,16.63
160.5,58.66,17.05
161.0,60.68,16.48
161.5,60.03,16.66
162.0,61.61,16.23
162.5,59.95,16.68
163.0,56.47,17.71
163.5,58.7,17.04
164.0,57.0,17.54
164.5,57.95,17.26
165.0,60.96,16.4
165.5,59.61,16.78
166.0,57.56,17.37
166.5,57.04,17.53
167.0,58.57,17.07
167.5,56.64,17.65
168.0,57.41,17.42
168.5,58.83,17.0
169.0,60.04,16.65
169.5,59.17,16.9
170.0,54.76,18.26
170.5,58.59,17.07
171.0,58.18,17.19
171.5,58.63,17.06
172.0,60.36,16.57
172.5,54.77,18.26
173.0,56.91,17.57
173.5,58.61,17.06
174.0,55.28,18.09
174.5,59.79,16.73
175.0,58.05,17.23
175.5,58.69,17.04
176.0,56.48,17.7
176.5,58.48,17.1
177.0,58.78,17.01
177.5,57.44,17.41
178.0,57.36,17.44
178.5,57.32,17.45
179.0,55.53,18.01
179.5,56.52,17.69
180.0,56.42,17.72
180.5,57.13,17.5
181.0,57.96,17.25
181.5,54.78,18.25
182.0,56.09,17.83
182.5,58.4,17.12
183.0,54.97,18.19
183.5,54.76,18.26
184.0,56.2,17.8
184.5,57.06,17.53
185.0,55.71,17.95
185.5,57.59,17.36
186.0,56.78,17.61
186.5,56.66,17.65
187.0,56.13,17.82
187.5,58.69,17.04
188.0,54.79,18.25
188.5,51.99,19.23
189.0,57.31,17.45
189.5,54.11,18.48
190.0,54.86,18.23
190.5,56.56,17.68
191.0,52.1,19.19
191.5,52.52,19.04
192.0,51.9,19.27
192.5,53.01,18.86
193.0,54.77,18.26
193.5,54.8,18.25
194.0,54.33,18.41
194.5,51.7,19.34
195.0,50.26,19.9
195.5,53.71,18.62
196.0,52.83,18.93
196.5,54.13,18.47
197.0,54.4,18.38
197.5,53.47,18.7
198.0,54.31,18.41
198.5,53.43,18.72
199.0,53.79,18.59
199.5,51.85,19.29
200.0,52.55,19.03
200.5,53.04,18.86
201.0,53.89,18.56
201.5,51.99,19.24
202.0,53.28,18.77
202.5,52.02,19.22
203.0,52.17,19.17
203.5,53.52,18.69
204.0,49.21,20.32
204.5,50.19,19.93
205.0,49.84,20.07
205.5,48.49,20.62
206.0,50.91,19.64
206.5,52.99,18.87
207.0,51.38,19.46
207.5,52.04,19.22
208.0,53.32,18.75
208.5,53.63,18.65
209.0,51.48,19.43
209.5,53.56,18.67
210.0,51.62,19.37
210.5,50.18,19.93
211.0,50.5,19.8
211.5,49.13,20.36
212.0,49.98,20.01
212.5,50.73,19.71
213.0,52.44,19.07
213.5,53.78,18.59
214.0,49.1,20.37
214.5,51.73,19.33
215.0,49.56,20.18
215.5,51.81,19.3
216.0,50.88,19.65
216.5,48.31,20.7
217.0,52.43,19.07
217.5,50.12,19.95
218.0,50.22,19.91
218.5,49.41,20.24
219.0,50.02,19.99
219.5,51.64,19.36
220.0,50.72,19.72
220.5,51.49,19.42
221.0,51.55,19.4
221.5,52.99,18.87
222.0,50.51,19.8
222.5,48.82,20.48
223.0,52.65,18.99
223.5,50.57,19.78
224.0,52.76,18.96
224.5,51.68,19.35
225.0,50.93,19.63
225.5,51.68,19.35
226.0,54.11,18.48
226.5,54.33,18.41
227.0,51.35,19.47
227.5,51.52,19.41
228.0,52.94,18.89
228.5,50.09,19.96
229.0,51.91,19.27
229.5,51.41,19.45
230.0,23.77,42.08
230.5,29.09,34.38
231.0,21.88,45.71
231.5,17.76,56.3
232.0,29.83,33.52
232.5,32.65,30.63
233.0,23.78,42.04
233.5,19.19,52.11
234.0,24.07,41.55
234.5,24.14,41.42
235.0,24.43,40.93
235.5,21.66,46.17
236.0,26.74,37.4
236.5,26.57,37.63
237.0,20.52,48.74
237.5,27.1,36.9
238.0,31.16,32.09
238.5,25.52,39.19
239.0,23.99,41.69
239.5,24.57,40.69
240.0,26.85,37.25
240.5,19.81,50.48
241.0,25.49,39.23
241.5,23.83,41.97
242.0,53.12,18.83
242.5,53.04,18.86
243.0,52.21,19.15
243.5,54.12,18.48
244.0,52.29,19.12
244.5,54.66,18.3
245.0,55.38,18.06
245.5,54.4,18.38
246.0,53.52,18.69
246.5,54.72,18.27
247.0,53.68,18.63
247.5,55.64,17.97
248.0,51.59,19.38
248.5,53.93,18.54
249.0,51.55,19.4
249.5,52.39,19.09
250.0,56.78,17.61
250.5,56.18,17.8
251.0,53.86,18.57
251.5,52.78,18.95
252.0,50.69,19.73
252.5,54.42,18.38
253.0,58.96,16.96
253.5,56.09,17.83
254.0,54.69,18.28
254.5,56.33,17.75
255.0,53.39,18.73
255.5,55.38,18.06
256.0,56.08,17.83
256.5,55.89,17.89
257.0,57.31,17.45
257.5,56.73,17.63
258.0,57.31,17.45
258.5,55.37,18.06
259.0,57.84,17.29
259.5,59.03,16.94
260.0,55.23,18.11
260.5,55.44,18.04
261.0,58.86,16.99
261.5,56.66,17.65
262.0,59.14,16.91
262.5,56.46,17.71
263.0,59.39,16.84
263.5,57.48,17.4
264.0,57.76,17.31
264.5,59.8,16.72
265.0,56.98,17.55
265.5,56.19,17.8
266.0,57.01,17.54
266.5,58.43,17.11
267.0,55.47,18.03
267.5,58.85,16.99
268.0,57.15,17.5
268.5,59.75,16.74
269.0,54.5,18.35
269.5,56.97,17.55
270.0,55.69,17.96
270.5,57.03,17.53
271.0,58.7,17.04
271.5,58.12,17.21
272.0,58.06,17.22
272.5,58.25,17.17
273.0,58.84,17.0
273.5,57.07,17.52
274.0,59.68,16.75
274.5,59.66,16.76
