log_time,frame,PersistentLevel,X,Y,Z,FPS,FPSMs,GameThread,RenderThread,GPUFrame,RHIThreadTime,ActorName,ElapsedTime
2026.07.31-05.08.44:017,262,PL_Level1,0.0,0.0,0.0,56.938715,17.562743,7.284831,5.031434,10.143304,3.148416,,0.017563
2026.07.31-05.08.44:034,264,PL_Level1,0.0,0.0,0.0,57.928307,17.262717,7.277086,5.290386,8.644866,2.757129,,0.034825
2026.07.31-05.08.44:051,266,PL_Level1,0.0,0.0,0.0,58.964393,16.959388,6.16339,4.781409,10.100428,3.238122,,0.051785
2026.07.31-05.08.44:069,268,PL_Level1,0.0,0.0,0.0,57.92364,17.264108,6.05912,4.317912,8.911251,1.92661,,0.069049
2026.07.31-05.08.44:086,270,PL_Level1,0.0,0.0,0.0,57.597628,17.361826,6.830401,5.844158,9.927705,2.265932,,0.086411
2026.07.31-05.08.44:103,272,PL_Level1,0.0,0.0,0.0,57.517288,17.386077,6.240765,5.093154,9.371922,2.365647,,0.103797
2026.07.31-05.08.44:120,274,PL_Level1,0.0,0.0,0.0,59.106195,16.9187,6.526816,5.062225,9.455142,2.84789,,0.120716
2026.07.31-05.08.44:137,276,PL_Level1,0.0,0.0,0.0,58.159351,17.19414,6.402655,4.442108,9.982257,3.073874,,0.13791
2026.07.31-05.08.44:155,278,PL_Level1,0.0,0.0,0.0,58.114041,17.207546,7.599449,5.742348,8.641107,3.374435,,0.155117
2026.07.31-05.08.44:172,280,PL_Level1,0.0,0.0,0.0,56.888333,17.578297,7.699392,4.693998,9.539523,2.277105,,0.172696
2026.07.31-05.08.44:189,282,PL_Level1,0.0,0.0,0.0,59.106077,16.918734,7.307105,4.924403,10.970814,2.527044,,0.189614
2026.07.31-05.08.44:206,284,PL_Level1,0.0,0.0,0.0,58.814353,17.002653,7.164823,5.679337,8.647717,1.749507,,0.206617
2026.07.31-05.08.44:223,286,PL_Level1,0.0,0.0,0.0,58.699608,17.035889,6.225036,5.038846,9.334117,2.134576,,0.223653
2026.07.31-05.08.44:240,288,PL_Level1,0.0,0.0,0.0,59.575391,16.785454,5.956096,5.759345,9.202008,2.306327,,0.240438
2026.07.31-05.08.44:256,290,PL_Level1,0.0,0.0,0.0,60.493595,16.530676,6.866657,4.47868,9.206064,2.634669,,0.256969
2026.07.31-05.08.44:273,292,PL_Level1,0.0,0.0,0.0,60.517438,16.524163,6.844735,5.312903,9.959396,2.430449,,0.273493
2026.07.31-05.08.44:290,294,PL_Level1,0.0,0.0,0.0,60.386766,16.55992,6.407736,5.759538,8.895352,2.25956,,0.290053
2026.07.31-05.08.44:306,296,PL_Level1,0.0,0.0,0.0,59.288278,16.866741,6.700628,5.143704,9.597857,2.73929,,0.30692
2026.07.31-05.08.44:323,298,PL_Level1,0.0,0.0,0.0,58.889365,16.980995,6.773973,5.420646,10.133061,3.105171,,0.323901
2026.07.31-05.08.44:341,300,PL_Level1,0.0,0.0,0.0,58.26348,17.16341,6.418992,4.965764,9.411527,2.131148,,0.341064
2026.07.31-05.08.44:358,302,PL_Level1,0.0,0.0,0.0,59.027967,16.941122,6.461626,5.50813,10.881552,2.274982,,0.358005
2026.07.31-05.08.44:374,304,PL_Level1,0.0,0.0,0.0,60.034327,16.657137,6.526915,5.678208,10.77635,2.839915,,0.374662
2026.07.31-05.08.44:391,306,PL_Level1,0.0,0.0,0.0,58.91132,16.974666,6.96501,5.43708,8.792046,3.017995,,0.391637
2026.07.31-05.08.44:408,308,PL_Level1,0.0,0.0,0.0,60.319425,16.578407,7.387039,5.696223,9.144202,3.026217,,0.408216
2026.07.31-05.08.44:425,310,PL_Level1,0.0,0.0,0.0,58.810385,17.0038,6.866958,5.251883,9.032347,2.056323,,0.425219
2026.07.31-05.08.44:442,312,PL_Level1,0.0,0.0,0.0,57.848901,17.286413,7.314165,5.319267,9.127545,2.66084,,0.442506
2026.07.31-05.08.44:458,314,PL_Level1,0.0,0.0,0.0,61.649855,16.220638,6.986231,4.549285,9.30492,3.081939,,0.458726
2026.07.31-05.08.44:475,316,PL_Level1,0.0,0.0,0.0,59.787967,16.725773,6.043872,5.36835,9.777453,2.328145,,0.475452
2026.07.31-05.08.44:492,318,PL_Level1,0.0,0.0,0.0,59.32132,16.857346,7.001066,5.701074,9.504977,2.410403,,0.492309
2026.07.31-05.08.44:509,320,PL_Level1,0.0,0.0,0.0,59.011771,16.945772,6.747994,5.331676,9.165684,3.363436,,0.509255
2026.07.31-05.08.44:525,322,PL_Level1,0.0,0.0,0.0,61.361109,16.296968,6.636827,4.454025,8.829587,1.813938,,0.525552
