timestamp,vram_mb,ram_mb,heap_mb
0.0,2995.0,2034.9,505.4
0.5,2972.5,2089.5,529.7
1.0,2971.9,2062.3,511.9
1.5,3011.5,2031.4,510.3
2.0,2990.6,2042.6,526.6
2.5,2999.5,2069.9,509.3
3.0,3002.6,2076.6,511.5
3.5,3046.1,2055.3,518.4
4.0,3027.8,2058.9,519.2
4.5,3033.7,2074.4,522.7
5.0,3061.3,2063.1,541.9
5.5,3043.5,2035.9,525.3
6.0,3043.7,2046.7,499.0
6.5,3070.4,2069.0,527.0
7.0,3080.7,2089.8,525.0
7.5,3060.5,2099.1,525.9
8.0,3071.6,2083.6,528.9
8.5,3050.0,2075.0,527.0
9.0,3051.9,2085.5,527.7
9.5,3105.1,2058.4,535.2
10.0,3099.6,2069.9,524.6
10.5,3104.1,2057.8,521.4
11.0,3103.1,2050.5,562.0
11.5,3100.3,2083.4,525.5
12.0,3123.9,2081.7,534.6
12.5,3135.3,2093.0,519.5
13.0,3138.7,2091.4,536.6
13.5,3112.5,2086.6,527.0
14.0,3161.3,2094.1,532.8
14.5,3130.6,2083.4,548.6
15.0,3146.9,2093.8,543.7
15.5,3140.4,2072.2,545.6
16.0,3143.4,2095.4,523.1
16.5,3118.0,2102.6,560.1
17.0,3165.1,2077.1,530.7
17.5,3233.5,2092.8,558.8
18.0,3140.8,2080.5,554.6
18.5,3158.2,2083.7,551.1
19.0,3146.6,2073.0,537.7
19.5,3149.3,2122.1,548.6
20.0,3214.2,2119.3,543.3
20.5,3151.5,2110.0,549.2
21.0,3161.3,2139.9,547.3
21.5,3131.8,2098.0,530.3
22.0,3160.5,2163.6,562.8
22.5,3135.7,2099.7,551.7
23.0,3209.7,2110.6,548.6
23.5,3278.5,2098.8,548.7
24.0,3187.2,2115.4,558.8
24.5,3151.9,2126.0,547.2
25.0,3232.5,2108.2,534.4
25.5,3187.3,2147.3,562.0
26.0,3251.7,2117.8,564.0
26.5,3207.9,2119.7,557.7
27.0,3200.9,2097.3,549.1
27.5,3218.0,2125.1,562.4
28.0,3249.6,2115.3,547.8
28.5,3223.5,2107.1,553.0
29.0,3218.8,2105.0,556.7
29.5,3231.2,2175.2,573.5
30.0,3202.3,2117.7,562.4
30.5,3255.7,2095.1,562.4
31.0,3193.5,2111.5,587.3
31.5,3237.1,2125.7,572.2
32.0,3276.4,2138.9,573.0
32.5,3265.9,2140.3,566.8
33.0,3277.7,2144.0,565.4
33.5,3261.1,2118.9,550.4
34.0,3301.3,2139.8,582.9
34.5,3297.0,2116.7,578.6
35.0,3285.6,2123.1,573.2
35.5,3303.1,2118.4,574.5
36.0,3300.7,2114.2,584.2
36.5,3267.9,2160.5,562.2
37.0,3243.7,2154.3,572.7
37.5,3299.4,2161.3,568.1
38.0,3306.0,2143.8,598.1
38.5,3325.1,2159.8,590.1
39.0,3267.0,2110.3,560.2
39.5,3270.6,2164.0,568.0
40.0,3314.2,2151.5,582.7
40.5,3300.9,2161.8,580.2
41.0,3249.0,2158.1,572.6
41.5,3319.4,2132.0,606.1
42.0,3255.1,2123.0,590.7
42.5,3284.7,2140.0,593.2
43.0,3356.0,2166.8,582.5
43.5,3372.6,2170.6,597.5
44.0,3283.7,2130.6,587.4
44.5,3312.6,2139.6,589.3
45.0,3326.0,2146.0,599.1
45.5,3380.3,2154.6,577.6
46.0,3314.2,2135.8,610.8
46.5,3316.8,2135.8,597.5
47.0,3379.7,2149.1,609.4
47.5,3324.0,2168.5,586.7
48.0,3358.9,2144.4,589.2
48.5,3294.8,2166.9,587.7
49.0,3335.9,2191.7,602.7
49.5,3293.1,2145.7,601.8
50.0,3313.0,2168.9,597.4
50.5,3371.6,2194.7,592.8
51.0,3346.7,2167.1,591.1
51.5,3340.3,2165.3,604.2
52.0,3329.0,2201.3,600.9
52.5,3346.4,2173.1,599.6
53.0,3363.6,2202.6,622.9
53.5,3385.6,2190.3,607.5
54.0,3278.8,2176.1,621.9
54.5,3334.0,2193.8,604.8
55.0,3365.0,2191.9,613.4
55.5,3358.6,2207.2,611.3
56.0,3374.9,2177.0,595.8
56.5,3372.1,2190.1,628.0
57.0,3356.1,2189.3,613.2
57.5,3350.5,2205.8,623.0
58.0,3360.0,2172.5,608.9
58.5,3402.9,2214.6,615.7
59.0,3347.5,2204.8,609.5
59.5,3368.5,2170.4,631.5
60.0,3376.7,2222.2,623.1
60.5,3418.9,2243.9,624.6
61.0,3363.9,2220.5,635.4
61.5,3402.4,2230.3,634.3
62.0,3411.3,2204.7,631.3
62.5,3373.1,2171.0,610.3
63.0,3369.3,2168.6,618.4
63.5,3366.3,2211.9,616.3
64.0,3369.0,2196.2,634.5
64.5,3402.8,2191.0,629.8
65.0,3384.5,2209.2,615.1
65.5,3385.0,2224.1,628.0
66.0,3344.5,2183.9,615.9
66.5,3349.5,2205.3,631.2
67.0,3443.1,2245.7,616.0
67.5,3373.6,2195.2,638.8
68.0,3355.9,2235.4,638.2
68.5,3422.1,2209.6,654.4
69.0,3387.7,2231.4,644.7
69.5,3396.6,2243.7,632.9
70.0,3375.1,2237.8,566.2
70.5,3369.5,2242.4,544.9
71.0,3373.9,2202.5,550.2
71.5,3337.3,2249.0,564.0
72.0,3375.9,2210.9,540.0
72.5,3387.2,2234.4,562.1
73.0,3433.5,2235.7,553.2
73.5,3380.2,2241.5,565.3
74.0,3307.2,2239.7,554.4
74.5,3373.9,2217.4,570.3
75.0,3458.4,2208.5,567.2
75.5,3401.7,2254.2,581.9
76.0,3350.8,2241.7,568.9
76.5,3392.2,2262.2,562.0
77.0,3351.5,2239.6,568.1
77.5,3332.4,2213.6,558.1
78.0,3361.8,2262.3,576.5
78.5,3374.2,2236.8,579.2
79.0,3314.5,2252.3,598.9
79.5,3335.3,2233.8,568.9
80.0,3369.1,2280.9,573.3
80.5,3355.6,2231.7,571.1
81.0,3378.6,2243.8,579.9
81.5,3329.3,2253.9,582.5
82.0,3386.0,2231.2,579.1
82.5,3327.9,2260.9,591.4
83.0,3411.5,2287.7,575.2
83.5,3309.6,2246.9,592.2
84.0,3327.0,2265.9,588.6
84.5,3371.0,2204.3,584.0
85.0,3407.0,2259.7,581.9
85.5,3365.2,2255.5,610.2
86.0,3371.2,2246.6,578.6
86.5,3353.3,2285.9,590.7
87.0,3320.5,2259.0,581.1
87.5,3335.0,2263.2,607.4
88.0,3311.8,2260.5,599.3
88.5,3308.2,2230.9,584.5
89.0,3356.9,2247.9,597.3
89.5,3309.5,2291.0,595.7
90.0,3351.0,2080.8,588.8
90.5,3300.6,2108.9,602.5
91.0,3346.7,2117.5,599.7
91.5,3321.3,2161.6,598.9
92.0,3376.3,2143.4,597.2
92.5,3341.9,2118.1,602.8
