TrackedTotal,Untagged,UObject,CriWare,EngineMisc,Audio,Audio/AudioMixer,EngineMisc/FMsgLogf,Audio/Wwise,Audio/Wwise/Wwise Resource Loader
354.42,6.25,103.01,135.5,4.14,53.71,9.47,0.12,42.12,0.1
353.86,5.81,102.95,135.5,4.02,53.7,9.49,0.17,42.12,0.1
354.0,5.91,102.95,135.5,4.08,53.73,9.49,0.12,42.12,0.1
354.39,6.29,103.01,135.5,4.04,53.75,9.46,0.11,42.12,0.1
354.33,6.14,103.04,135.5,4.06,53.7,9.5,0.16,42.12,0.1
354.3,6.08,103.01,135.5,4.2,53.68,9.46,0.15,42.12,0.1
354.33,6.2,103.09,135.5,4.03,53.67,9.47,0.15,42.12,0.1
354.23,6.15,102.97,135.5,4.06,53.75,9.44,0.14,42.12,0.1
354.24,6.06,103.01,135.5,4.13,53.75,9.46,0.1,42.12,0.1
354.08,5.97,102.92,135.5,4.08,53.73,9.54,0.13,42.12,0.1
354.01,5.92,103.01,135.5,4.11,53.7,9.44,0.1,42.12,0.1
354.64,6.33,103.08,135.5,4.17,53.73,9.48,0.14,42.12,0.1
354.3,6.15,102.95,135.5,4.14,53.74,9.46,0.15,42.12,0.1
354.45,6.36,103.04,135.5,4.08,53.68,9.4,0.15,42.12,0.1
354.37,6.16,103.07,135.5,4.1,53.7,9.49,0.13,42.12,0.1
354.37,6.28,102.97,135.5,4.13,53.67,9.45,0.15,42.12,0.1
354.38,6.21,103.03,135.5,4.13,53.7,9.48,0.12,42.12,0.1
354.54,6.23,103.08,135.5,4.1,53.75,9.5,0.15,42.12,0.1
354.46,6.24,103.02,135.5,4.12,53.73,9.48,0.15,42.12,0.1
354.35,6.16,103.04,135.5,4.12,53.71,9.48,0.12,42.12,0.1
353.99,6.05,102.92,135.5,4.1,53.62,9.45,0.15,42.12,0.1
354.51,6.35,103.03,135.5,4.07,53.68,9.49,0.16,42.12,0.1
354.67,6.47,103.03,135.5,4.14,53.71,9.47,0.14,42.12,0.1
354.49,6.48,102.94,135.5,4.12,53.7,9.41,0.12,42.12,0.1
354.17,6.15,102.96,135.5,4.0,53.7,9.5,0.14,42.12,0.1
354.31,6.13,103.04,135.5,4.06,53.71,9.51,0.15,42.12,0.1
354.27,6.16,102.99,135.5,4.08,53.69,9.52,0.12,42.12,0.1
354.45,6.21,103.06,135.5,4.1,53.7,9.54,0.12,42.12,0.1
354.48,6.23,103.02,135.5,4.17,53.7,9.5,0.15,42.12,0.1
354.41,6.09,103.01,135.5,4.27,53.68,9.49,0.15,42.12,0.1
354.17,6.02,103.0,135.5,3.98,53.76,9.51,0.18,42.12,0.1
354.4,6.25,103.02,135.5,4.12,53.69,9.45,0.15,42.12,0.1
353.77,5.72,103.05,135.5,4.11,53.64,9.42,0.11,42.12,0.1
354.48,6.23,103.03,135.5,4.1,53.76,9.46,0.18,42.12,0.1
354.3,6.11,102.99,135.5,4.13,53.68,9.51,0.16,42.12,0.1
354.56,6.37,103.07,135.5,4.11,53.73,9.45,0.1,42.12,0.1
354.55,6.41,103.04,135.5,4.09,53.68,9.49,0.12,42.12,0.1
354.61,6.42,103.03,135.5,4.11,53.72,9.49,0.13,42.12,0.1
354.41,6.21,103.01,135.5,4.14,53.7,9.48,0.16,42.12,0.1
354.23,6.09,103.03,135.5,4.13,53.73,9.44,0.09,42.12,0.1
354.21,6.14,102.92,135.5,4.12,53.7,9.48,0.14,42.12,0.1
354.43,6.3,103.02,135.5,4.08,53.68,9.46,0.16,42.12,0.1
354.4,6.02,103.09,135.5,4.25,53.71,9.53,0.08,42.12,0.1
354.7,6.47,103.02,135.5,4.13,53.69,9.51,0.16,42.12,0.1
354.36,6.22,103.01,135.5,4.15,53.65,9.46,0.16,42.12,0.1
354.46,6.34,102.98,135.5,4.08,53.69,9.53,0.12,42.12,0.1
354.27,6.0,103.03,135.5,4.12,53.79,9.48,0.12,42.12,0.1
354.17,6.13,103.0,135.5,4.12,53.65,9.42,0.12,42.12,0.1
354.07,5.99,103.08,135.5,4.01,53.71,9.47,0.09,42.12,0.1
354.54,6.43,102.97,135.5,4.07,53.7,9.52,0.14,42.12,0.1
354.39,6.25,102.99,135.5,4.07,53.76,9.45,0.15,42.12,0.1
354.41,6.36,102.98,135.5,4.08,53.67,9.47,0.12,42.12,0.1
354.47,6.29,103.1,135.5,4.06,53.71,9.43,0.16,42.12,0.1
354.49,6.35,103.0,135.5,4.11,53.73,9.44,0.15,42.12,0.1
354.41,6.23,102.98,135.5,4.18,53.7,9.45,0.15,42.12,0.1
354.25,6.25,102.91,135.5,4.12,53.68,9.44,0.14,42.12,0.1
354.33,6.27,102.97,135.5,4.05,53.7,9.46,0.16,42.12,0.1
354.56,6.35,103.04,135.5,4.06,53.7,9.53,0.17,42.12,0.1
354.51,6.35,103.04,135.5,4.09,53.7,9.47,0.14,42.12,0.1
354.84,6.71,102.98,135.5,4.04,53.73,9.5,0.16,42.12,0.1
354.76,6.54,102.98,135.5,4.13,53.72,9.51,0.16,42.12,0.1
354.35,6.02,103.11,135.5,4.18,53.72,9.44,0.15,42.12,0.1
354.57,6.27,103.15,135.5,4.08,53.72,9.45,0.18,42.12,0.1
354.51,6.23,103.07,135.5,4.12,53.74,9.5,0.13,42.12,0.1
354.73,6.49,103.09,135.5,4.09,53.75,9.46,0.14,42.12,0.1
354.48,6.25,103.1,135.5,4.08,53.7,9.5,0.13,42.12,0.1
354.75,6.37,103.12,135.5,4.12,53.73,9.53,0.16,42.12,0.1
353.99,5.95,103.0,135.5,4.08,53.67,9.43,0.14,42.12,0.1
354.08,6.07,102.97,135.5,4.07,53.64,9.47,0.13,42.12,0.1
354.89,6.62,103.11,135.5,4.03,53.76,9.47,0.18,42.12,0.1
354.46,6.31,102.97,135.5,4.12,53.7,9.46,0.18,42.12,0.1
354.32,6.16,102.96,135.5,4.17,53.71,9.46,0.14,42.12,0.1
354.43,6.34,102.96,135.5,4.15,53.67,9.46,0.12,42.12,0.1
354.4,6.15,103.01,135.5,4.19,53.67,9.48,0.19,42.12,0.1
354.31,6.27,102.92,135.5,4.08,53.69,9.48,0.16,42.12,0.1
354.31,6.09,102.94,135.5,4.16,53.73,9.51,0.16,42.12,0.1
354.28,6.2,102.98,135.5,4.06,53.69,9.48,0.15,42.12,0.1
