TrackedTotal,Untagged,UObject,EngineMisc,Audio,Audio/AudioMixer,Textures,RenderTargets,RHI
579.85,8.26,140.08,5.54,60.99,11.19,210.44,95.28,48.07
579.72,8.25,140.08,5.5,61.05,11.21,210.62,95.25,47.77
580.38,8.55,139.98,5.46,60.91,11.22,210.92,95.33,48.0
578.85,8.58,139.87,5.47,60.95,11.13,209.78,95.06,48.01
578.95,9.0,139.9,5.57,60.97,11.22,209.44,94.74,48.11
579.53,8.49,140.0,5.55,60.93,11.15,210.68,94.69,48.03
579.42,8.67,139.88,5.41,60.98,11.18,210.25,94.84,48.21
580.27,8.55,139.97,5.43,60.98,11.13,210.44,95.6,48.18
579.05,8.65,140.12,5.43,61.04,11.23,209.68,94.93,47.97
579.63,8.55,140.03,5.57,61.0,11.13,210.14,95.05,48.17
579.19,8.74,140.01,5.4,60.99,11.15,209.48,95.46,47.96
578.94,8.31,139.92,5.55,60.99,11.16,210.01,95.08,47.93
578.17,8.03,140.02,5.53,60.96,11.2,209.84,94.78,47.82
580.94,8.61,139.98,5.51,61.04,11.2,211.18,95.22,48.2
579.07,8.17,140.02,5.48,61.05,11.23,210.28,94.88,47.96
578.25,8.79,140.06,5.58,60.95,11.2,208.94,95.09,47.64
579.57,8.42,140.08,5.51,61.07,11.24,210.01,95.16,48.08
578.95,8.33,140.02,5.42,60.98,11.22,210.2,94.86,47.94
579.49,9.08,140.05,5.43,60.97,11.16,209.78,95.06,47.96
579.02,8.53,139.96,5.41,61.02,11.18,209.46,95.49,47.97
579.58,8.5,140.1,5.58,61.03,11.26,210.35,94.82,47.95
579.82,8.69,139.94,5.59,61.0,11.25,209.54,95.4,48.41
579.88,8.71,139.99,5.57,60.99,11.24,210.3,94.83,48.25
579.82,8.77,140.11,5.5,61.05,11.24,209.49,95.55,48.11
578.42,8.28,139.97,5.42,60.98,11.22,209.75,94.75,48.04
579.78,8.66,139.9,5.44,61.0,11.22,210.5,94.89,48.17
579.96,8.49,139.97,5.45,61.07,11.21,210.26,95.46,48.04
579.86,8.37,140.12,5.5,60.95,11.27,210.04,95.48,48.13
579.51,8.57,139.83,5.59,60.99,11.19,210.01,95.26,48.09
578.84,8.2,140.02,5.59,61.05,11.21,210.07,94.69,48.03
579.15,8.74,139.96,5.48,61.03,11.14,209.63,95.04,48.15
578.28,8.5,140.0,5.37,61.04,11.15,209.26,95.01,47.94
579.2,8.47,139.98,5.44,60.95,11.28,210.31,94.76,48.02
580.32,8.54,140.09,5.58,61.02,11.23,210.79,95.22,47.86
579.25,8.53,140.01,5.52,60.99,11.2,210.33,94.78,47.88
579.09,8.8,140.09,5.49,61.1,11.21,210.15,94.63,47.63
578.17,8.35,140.11,5.48,61.04,11.15,209.42,94.53,48.08
580.28,8.5,140.01,5.46,61.0,11.19,210.47,95.53,48.12
579.42,8.53,139.98,5.44,61.02,11.15,210.27,94.86,48.17
579.36,8.36,140.04,5.63,61.01,11.19,210.41,94.87,47.84
579.88,8.61,140.06,5.61,61.03,11.23,210.55,94.71,48.07
580.27,8.44,139.92,5.46,60.97,11.22,210.82,95.43,48.01
578.27,8.3,140.03,5.41,61.06,11.27,209.47,94.6,48.12
578.33,8.69,139.99,5.52,60.95,11.22,209.39,94.66,47.91
579.49,8.9,139.98,5.5,61.01,11.11,210.11,94.92,47.96
578.73,8.6,139.96,5.55,60.97,11.28,209.57,95.01,47.78
578.88,8.57,139.96,5.56,61.01,11.17,209.49,95.22,47.9
579.86,8.57,140.11,5.44,61.05,11.21,210.65,94.82,48.01
579.27,8.49,139.99,5.59,60.94,11.21,209.53,95.48,48.04
579.25,8.83,140.11,5.49,61.0,11.22,210.03,94.82,47.76
578.23,8.62,140.03,5.55,60.95,11.21,209.22,94.72,47.93
578.59,8.17,139.92,5.5,61.0,11.21,210.07,94.69,48.03
580.19,8.84,140.03,5.57,60.95,11.15,210.63,94.79,48.22
579.62,8.8,139.92,5.37,61.01,11.31,210.65,94.67,47.88
580.47,8.73,140.06,5.56,60.99,11.23,210.56,95.25,48.08
578.42,8.06,140.0,5.46,61.04,11.21,210.0,94.72,47.93
580.08,8.61,140.09,5.52,61.06,11.28,210.6,94.98,47.94
579.54,8.79,140.13,5.59,61.01,11.17,210.26,94.71,47.88
578.67,8.69,139.88,5.47,61.04,11.24,209.82,94.67,47.85
579.88,8.66,139.98,5.46,61.06,11.19,210.24,95.36,47.94
580.57,8.8,139.92,5.49,60.97,11.23,210.49,95.5,48.17
579.31,8.65,140.19,5.49,61.07,11.23,209.38,95.41,47.9
578.4,8.86,139.98,5.45,61.01,11.12,209.52,94.58,47.88
578.86,8.66,139.91,5.52,60.97,11.15,209.98,94.63,48.04
579.73,8.64,140.2,5.53,61.02,11.27,209.44,95.62,48.01
578.9,8.81,139.96,5.54,61.01,11.2,209.43,94.95,48.0
578.66,8.55,139.89,5.47,60.95,11.29,209.84,94.61,48.05
579.79,8.41,139.93,5.46,60.97,11.26,210.55,95.35,47.86
579.92,8.64,140.03,5.51,61.08,11.2,210.54,95.05,47.88
580.07,8.76,140.02,5.5,61.02,11.2,210.21,95.2,48.16
579.12,8.83,139.95,5.5,61.07,11.28,210.14,94.36,47.99
580.71,8.83,139.98,5.48,60.99,11.29,211.1,94.93,48.1
579.67,8.63,140.03,5.54,60.98,11.2,209.78,95.31,48.2
579.57,8.61,140.13,5.46,60.94,11.27,210.18,94.84,48.14
579.36,8.53,140.05,5.51,61.05,11.25,209.76,95.4,47.81
578.51,8.7,139.98,5.5,61.03,11.26,209.41,94.63,48.0
579.87,8.32,140.0,5.52,61.0,11.22,210.65,95.0,48.17
580.02,8.66,140.08,5.59,60.98,11.18,209.91,95.52,48.09
580.19,9.23,140.16,5.44,61.06,11.17,210.41,94.69,48.04
