log_time,frame,PersistentLevel,X,Y,Z,FPS,FPSMs,GameThread,RenderThread,GPUFrame,RHIThreadTime,ActorName,ElapsedTime
2026.07.31-05.08.44:883,262,PL_SampleFPS,0.000000,0.000000,0.000000,1.524778,655.833130,28.512653,53.558086,84.416641,12.231805,,16.043624
2026.07.31-05.08.44:919,264,PL_SampleFPS,0.000000,0.000000,0.000000,2.652034,377.069092,20.218914,10.544062,15.559820,1.957166,,16.079472
2026.07.31-05.08.44:996,267,PL_SampleFPS,0.000000,0.000000,0.000000,5.679093,176.084457,22.197248,11.796238,14.686120,7.981977,,16.156902
2026.07.31-05.08.45:033,269,PL_SampleFPS,0.000000,0.000000,0.000000,9.290361,107.638443,22.971519,10.347127,18.740295,7.129446,,16.193999
2026.07.31-05.08.45:070,271,PL_SampleFPS,0.000000,0.000000,0.000000,14.492702,69.000244,22.600100,10.111061,18.972511,7.906924,,16.230785
2026.07.31-05.08.45:108,273,PL_SampleFPS,0.000000,0.000000,0.000000,21.026815,47.558319,23.181284,9.200796,17.811426,9.096875,,16.268793
2026.07.31-05.08.45:145,275,PL_SampleFPS,0.000000,0.000000,0.000000,28.259405,35.386448,23.809296,10.344561,17.590757,8.742777,,16.306359
2026.07.31-05.08.45:183,277,PL_SampleFPS,0.000000,0.000000,0.000000,34.878727,28.670771,23.607229,9.408636,17.973082,7.257101,,16.343985
2026.07.31-05.08.45:220,279,PL_SampleFPS,0.000000,0.000000,0.000000,40.661972,24.593002,23.293545,9.996235,17.432951,6.053679,,16.381347
2026.07.31-05.08.45:262,281,PL_SampleFPS,0.000000,0.000000,0.000000,42.830761,23.347706,27.492052,10.617191,20.351702,7.384115,,16.422876
2026.07.31-05.08.45:299,283,PL_SampleFPS,0.000000,0.000000,0.000000,46.099602,21.692162,23.599531,10.553684,17.882631,5.618111,,16.460398
2026.07.31-05.08.45:338,285,PL_SampleFPS,0.000000,0.000000,0.000000,47.635002,20.992966,24.520702,9.395165,17.885839,4.941988,,16.498759
2026.07.31-05.08.45:374,287,PL_SampleFPS,0.000000,0.000000,0.000000,49.523659,20.192369,23.194756,10.387540,17.817842,4.003498,,16.535425
2026.07.31-05.08.45:412,289,PL_SampleFPS,0.000000,0.000000,0.000000,49.885357,20.045963,24.083851,11.751333,17.527891,3.174701,,16.573144
2026.07.31-05.08.45:465,292,PL_SampleFPS,0.000000,0.000000,0.000000,51.602379,19.378952,25.151920,10.445273,17.372011,2.071350,,16.626095
2026.07.31-05.08.45:520,295,PL_SampleFPS,0.000000,0.000000,0.000000,51.263748,19.506962,26.622202,10.775638,17.053835,2.560160,,16.680635
2026.07.31-05.08.45:573,298,PL_SampleFPS,0.000000,0.000000,0.000000,51.530296,19.406059,24.911366,10.053968,16.815203,1.035354,,16.733998
2026.07.31-05.08.45:624,301,PL_SampleFPS,0.000000,0.000000,0.000000,53.814465,18.582365,23.718847,10.146342,16.990328,2.893731,,16.784519
2026.07.31-05.08.45:679,304,PL_SampleFPS,0.000000,0.000000,0.000000,52.082088,19.200459,25.110224,9.767867,17.432951,1.721100,,16.839820
2026.07.31-05.08.45:726,307,PL_SampleFPS,0.000000,0.000000,0.000000,57.350086,17.436766,18.565170,9.795451,17.815918,2.465220,,16.886658
2026.07.31-05.08.45:771,310,PL_SampleFPS,0.000000,0.000000,0.000000,61.747150,16.195080,15.190968,9.662663,17.466951,4.401859,,16.931935
2026.07.31-05.08.45:814,313,PL_SampleFPS,0.000000,0.000000,0.000000,68.161644,14.671007,12.713559,9.179626,17.216772,8.562520,,16.975384
2026.07.31-05.08.45:850,315,PL_SampleFPS,0.000000,0.000000,0.000000,64.277275,15.557598,12.442853,10.615267,17.019836,8.740211,,17.010564
2026.07.31-05.08.45:885,317,PL_SampleFPS,0.000000,0.000000,0.000000,58.356724,17.135986,15.636157,11.254184,17.027534,8.218685,,17.046216
